y,x,nuclei_type,nuclei_area
9.494505494505495,402.38461538461536,tumor_epithelial,182
8.366197183098592,431.49295774647885,tumor_epithelial,142
12.940298507462686,319.3880597014925,tumor_epithelial,67
17.167689161554193,337.2290388548057,tumor_epithelial,489
17.596273291925467,155.73291925465838,tumor_epithelial,161
17.586956521739133,93.13043478260869,tumor_epithelial,138
18.88888888888889,214.01388888888889,tumor_epithelial,72
17.05,291.9875,tumor_epithelial,80
18.654205607476634,361.4299065420561,tumor_epithelial,107
21.68312757201646,200.74897119341563,tumor_epithelial,243
25.636085626911317,10.642201834862385,tumor_epithelial,327
25.904458598726116,167.30573248407643,tumor_epithelial,314
23.475524475524477,33.93006993006993,connective,143
27.52482269503546,458.9929078014184,tumor_epithelial,141
26.465346534653467,492.66336633663366,tumor_epithelial,103
34.0,182.79863481228668,tumor_epithelial,293
40.6793893129771,323.4961832061069,connective,262
38.3963963963964,129.21621621621622,tumor_epithelial,111
37.973684210526315,424.45394736842104,immune,152
42.58181818181818,503.24545454545455,tumor_epithelial,110
44.710743801652896,114.01652892561984,tumor_epithelial,121
51.161904761904765,235.2595238095238,tumor_epithelial,420
45.67099567099567,406.02597402597405,connective,231
49.06206896551724,170.3793103448276,tumor_epithelial,290
44.57971014492754,435.1449275362319,tumor_epithelial,69
49.006578947368425,445.6907894736842,tumor_epithelial,152
49.99183673469388,476.0571428571429,tumor_epithelial,245
49.43396226415094,139.69811320754718,necrotic,53
53.03932584269663,102.01123595505618,immune,178
52.235955056179776,185.8876404494382,tumor_epithelial,89
57.90548780487805,33.71341463414634,immune,328
55.3849765258216,217.1032863849765,tumor_epithelial,213
52.265306122448976,350.9795918367347,necrotic,49
59.7557251908397,290.8269720101781,tumor_epithelial,393
61.775862068965516,82.86206896551724,immune,58
62.5531914893617,132.9255319148936,immune,94
65.59310344827585,361.2896551724138,tumor_epithelial,145
70.43890274314214,309.20947630922694,tumor_epithelial,401
65.77124183006536,486.8692810457516,tumor_epithelial,153
65.79220779220779,71.18181818181819,immune,77
71.97868217054264,249.8081395348837,tumor_epithelial,516
72.76470588235294,273.6334841628959,tumor_epithelial,221
73.07777777777778,406.42962962962963,tumor_epithelial,270
74.66216216216216,475.1621621621622,tumor_epithelial,148
76.56,108.62,immune,100
77.928,449.28,connective,125
81.99547511312217,165.31221719457014,connective,221
80.77300613496932,187.01840490797545,tumor_epithelial,163
84.20175438596492,98.26315789473685,immune,114
83.67132867132867,144.4965034965035,immune,143
86.24460431654677,372.68345323741005,tumor_epithelial,139
85.08403361344537,503.5378151260504,tumor_epithelial,119
89.85585585585585,260.36486486486484,tumor_epithelial,222
92.65027322404372,427.2021857923497,connective,366
90.18852459016394,128.15573770491804,immune,122
93.95714285714286,273.3333333333333,tumor_epithelial,210
92.54545454545455,180.4318181818182,connective,44
95.73758865248227,203.41843971631207,tumor_epithelial,282
94.97041420118343,288.7100591715976,tumor_epithelial,169
